Index,Author,Compound,Tech,RL_inf,Influent,RL_eff,Effluent,Type,,,,,,,,
4,Urtiaga,N-Acetyl-4-amino-antiyirine (4-AAA),Reverse Osmosis,,7364,,43,Drug Metabolite,,,,,,,,
39,Estrada-Arriaga,Caffeine,UV - ClO2,29,4920,29,29,Stimulant,,,,,,,,
1,Kim,Codeine,Membrane Bioreactor,3,1230,12,7.28,Opioid,,,,,,,,
22,Li,Sulfapyridine,Ozone,0.04,451,0.04,2.72,Antibiotic,,,,,,,,
28,Chiu,Oxybenzone,UV,2,8100,2,49,UV filter/sunscreen,,,,,,,,
28,Chiu,Cotinine,UV,0.1,2200,0.1,14,Opioid,,,,,,,,
2,Margot,Caffeine,"Ozone, Sand Filter",50,10000,50,65.6,Stimulant,,,,,,,,
39,Estrada-Arriaga,Enalapril,UV,0.99,149,0.99,0.99,Antihypertensive,,,,,,,,
3,Sim,Caffiene,SF,13,1950,13,13,Stimulant,,,,,,,,
11,Dolar,Ranitidine,RO,3.25,485,3.25,3.25,Antihistamine,,,,,,,,
2,Margot,Trimethoprim,"Ozone, Sand Filter",0.2,235,0.2,1.58,Antibiotic,,,,,,,,
4,Urtiaga,Nicotine,Ultrafiltration,,10954,,75,Stimulant,,,,,,,,
15,Zorita,Ibuprofen,Sand Filter,2.7,6900,2.7,47.5,Anti-inflammatory,,,,,,,,
4,Urtiaga,Ibuprofen,Reverse Osmosis,,2514,,18,Anti-inflammatory,,,,,,,,
2,Margot,Irbesartan,"Powdered Activated Carbon, Ultrafiltration",20,4700,20,34,Antihypertensive,,,,,,,,
2,Margot,Sotalol,"Ozone, Sand Filter",0.5,337,0.5,2.47,Beta-Blocker,,,,,,,,
12,Perez,Atenolol,Reverse Osmosis,,1123,,8.337,Beta-Blocker,,,,,,,,
7,Oliveira,Paraxanthine,UV,,6730,,50,Stimulant,,,,,,,,
38,Knopp,"10,11-Dihydro-10,11-dihydroxy-carbamazepine",GAC,25,3300,25,25,Drug metabolite,,,,,,,,
8,Rodriguez-Mozaz,Erythromycin,RO,32.4,360.5,1.1,2.75,Antibiotic,,,,,,,,
6,Behera,Caffeine,UV,1.301,2349,1.301,18,Stimulant,,,,,,,,
22,Li,Tylosin,Ozone,0.05,6.42,0.05,0.05,Antibiotic,,,,,,,,
24,Li,Ibuprofen,"Aerated Lanoons (2), Sand Tank",4.9,18600,0.94,146,Anti-inflammatory,,,,,,,,
1,Kim,Codeine,Membrane Bioreactor,3,1410,12,11.2,Opioid,,,,,,,,
39,Estrada-Arriaga,Sulfamethoxazole,UV - ClO2,0.47,641,0.47,5.11,Antibiotic,,,,,,,,
8,Rodriguez-Mozaz,Gemfibrozil,UV,0.1,7438.5,1.2,60.5,Lipid Regulator,,,,,,,,
8,Rodriguez-Mozaz,Ketoprofen,MF,168.8,16184.5,29,135,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Gemfibrozil,UV - ClO2,2.9,276,2.9,2.31,Lipid Regulator,,,,,,,,
24,Li,Caffeine,"Aerated Lanoons (2), Sand Tank",6.3,57700,6,486,Stimulant,,,,,,,,
2,Margot,Losartan,"Ozone, Sand Filter",20,2405,20,20.4,Antihypertensive,,,,,,,,
21,Le-Minh,Androsterone (A),MBR,,1150,,10,Steroid Hormone,,,,,,,,
39,Estrada-Arriaga,Cotinine,UV - ClO2,1.94,453,1.94,3.96,Opioid,,,,,,,,
39,Estrada-Arriaga,Theophylline,ClO2,93,10400,93,93,Bronchodilator,,,,,,,,
2,Margot,Propranolol,"Ozone, Sand Filter",0.3,127,0.3,1.14,Beta-Blocker,,,,,,,,
2,Margot,Propranolol,"Powdered Activated Carbon, Ultrafiltration",0.3,127,0.3,1.14,Beta-Blocker,,,,,,,,
38,Knopp,"10,11-Dihydro-10,11-dihydroxy-carbamazepine","GAC, ae",25,3300,25,30,Drug metabolite,,,,,,,,
38,Knopp,Sulfamethoxazole,Ozone,25,1100,25,10,Antibiotic,,,,,,,,
1,Kim,Metformin,Membrane Bioreactor,12,95300,3,872,Antidiabetic,,,,,,,,
39,Estrada-Arriaga,Androsterone,UV,6.96,750,6.96,6.96,Steroid Hormone,,,,,,,,
39,Estrada-Arriaga,Naproxen,UV,7.59,12800,7.59,119,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Metformin,ClO2,11.2,32100,11.2,307.6,Antidiabetic,,,,,,,,
8,Rodriguez-Mozaz,Ketoprofen,UV,168.8,16184.5,29,159,Anti-inflammatory,,,,,,,,
3,Sim,Caffiene,Biological Filtration System,13,2400,13,24,Stimulant,,,,,,,,
37,Matamoros,Caffeine,Constructed Wetland,,31900,,319,Stimulant,,,,,,,,
37,Matamoros,Methyl dihydrojasmonate,Constructed Wetland,,8000,,80,Fragrance,,,,,,,,
37,Matamoros,Methyl dihydrojasmonate,Constructed Wetland,,8000,,80,Fragrance,,,,,,,,
1,Kim,Codeine,Membrane Bioreactor,3,1390,12,13.9,Opioid,,,,,,,,
3,Sim,Acetylsalicylic Acid,Chlorine,3,2610,3,27,Anti-inflammatory,,,,,,,,
38,Knopp,4-Hydroxy-diclofenac,Ozone,25,2400,25,25,Drug Metabolite,,,,,,,,
39,Estrada-Arriaga,Lincomycin,ClO2,5.8,550,5.8,5.8,Antibiotic,,,,,,,,
21,Le-Minh,Androsterone (A),MBR,,932,,10,Steroid Hormone,,,,,,,,
1,Kim,Metformin,Membrane Bioreactor,12,78400,3,842,Antidiabetic,,,,,,,,
7,Oliveira,Theophylline,UV,,9290,,100,Bronchodilator,,,,,,,,
1,Kim,Metformin,Membrane Bioreactor,12,88800,3,968,Antidiabetic,,,,,,,,
2,Margot,Atenolol acid,"Powdered Activated Carbon, Ultrafiltration",10,1550,10,17,Drug Metabolite,,,,,,,,
24,Li,Sulfamethoxazole,"Aerated Lanoons (2), Sand Tank",6.7,3800,1.9,43.2,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Enalapril,UV,0.99,84.5,0.99,0.99,Antihypertensive,,,,,,,,
12,Perez,Hydrochlorothiazide,Reverse Osmosis,,1554,,18.48,Diuretic,,,,,,,,
5,Li,Cefalexin,Chlorine,,252,,3,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Cocaine,ClO2,0.29,23.8,0.29,0.29,Opioid,,,,,,,,
39,Estrada-Arriaga,Cocaine,UV,0.29,271,0.29,3.31,Opioid,,,,,,,,
8,Rodriguez-Mozaz,Gemfibrozil,MF,0.1,7438.5,1.2,91,Lipid Regulator,,,,,,,,
2,Margot,Mefenamic Acid,"Ozone, Sand Filter",2.6,946,2.6,11.62,Anti-inflammatory,,,,,,,,
38,Knopp,Iomeprol,GAC,25,16200,25,200,Iodinated contrast medium,,,,,,,,
9,Sahar,Clarythromycin,RO,25,1986,25,25,Antibiotic,,,,,,,,
9,Sahar,Clarythromycin,RO,25,1986,25,25,Antibiotic,,,,,,,,
40,Mamo,Ranitidine,NF,,365.1,,4.7,Antihistamine,,,,,,,,
8,Rodriguez-Mozaz,Sotalol,RO,5.7,348.5,0.5,4.55,Beta-Blocker,,,,,,,,
22,Li,Spiramycin,Ozone,0.1,7.46,0.1,0.1,Antibiotic,,,,,,,,
30,Hijosa-Valsero,Caffeine,Constructed Wetland,,19200,,260,Stimulant,,,,,,,,
39,Estrada-Arriaga,Ibuprofen,ClO2,29,2140,29,29,Anti-inflammatory,,,,,,,,
1,Kim,Gemfibrozil,Membrane Bioreactor,6,129,1.5,1.77,Lipid Regulator,,,,,,,,
7,Oliveira,Pseudoephedrine,UV,,2170,,30,Decongestant,,,,,,,,
39,Estrada-Arriaga,"1,7-Dimethylxanthine",ClO2,116,8360,116,116,Stimulant,,,,,,,,
4,Urtiaga,Hydrochlorothiazide,Ultrafiltration,,16628,,239,Diuretic,,,,,,,,
39,Estrada-Arriaga,Androstenedione,UV - ClO2,2.16,145,2.16,2.16,Steroid Hormone,,,,,,,,
1,Kim,Atorvastatin,Membrane Bioreactor,6,106,1.5,1.61,Statins,,,,,,,,
1,Kim,Enalapril,Membrane Bioreactor,1.2,29.2,0.3,0.444,Antihypertensive,,,,,,,,
7,Oliveira,Ibuprofen,UV,,20750,,320,Anti-inflammatory,,,,,,,,
8,Rodriguez-Mozaz,Carbamezapine,RO,1.2,230,0.1,3.55,Anticonvulsant,,,,,,,,
1,Kim,Atorvastatin,Membrane Bioreactor,6,111,1.5,1.72,Statins,,,,,,,,
39,Estrada-Arriaga,Metformin,UV - ClO2,11.2,13400,11.2,210,Antidiabetic,,,,,,,,
2,Margot,Formyl-4-aminoantipyrine,"Ozone, Sand Filter",10,445,10,7,Drug Metabolite,,,,,,,,
22,Li,Sulfamethazine,Ozone,0.02,6.32,0.02,0.1,Antibiotic,,,,,,,,
2,Margot,Eprosartan,"Ozone, Sand Filter",20,1105,20,17.6,Antihypertensive,,,,,,,,
8,Rodriguez-Mozaz,Diclofenac,RO,2.3,469,7.6,7.6,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Estrone,ClO2,1.06,65.4,1.06,1.06,Hormone,,,,,,,,
4,Urtiaga,Naproxen,Reverse Osmosis,,2672,,44,Anti-inflammatory,,,,,,,,
21,Le-Minh,Trimethoprim,MBR,,546,,9,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Triclocarban,ClO2,4.8,287,4.8,4.8,Antibacterial,,,,,,,,
9,Sahar,Sulfamethoxazole,RO,5,298,5,5,Antibiotic,,,,,,,,
9,Sahar,Sulfamethoxazole,RO,5,298,5,5,Antibiotic,,,,,,,,
1,Kim,Atorvastatin,Membrane Bioreactor,6,99.8,1.5,1.72,Statins,,,,,,,,
39,Estrada-Arriaga,Triclosan,UV,16,926,16,16,Antifungal,,,,,,,,
11,Dolar,Clarithromycin,RO,35.11,2020,35.11,35.11,Antibiotic,,,,,,,,
3,Sim,Ciprofloxacin,SF/AC,90,45000,90,784,Antibiotic,,,,,,,,
6,Behera,Ibuprofen,UV,,2265,,40,Anti-inflammatory,,,,,,,,
2,Margot,Clindamycin,"Ozone, Sand Filter",0.2,65,0.2,1.15,Antibiotic,,,,,,,,
38,Knopp,N-acetyl sulfamethoxazole,Ozone,25,1400,25,25,Drug Metabolite,,,,,,,,
39,Estrada-Arriaga,Naproxen,UV,7.59,8040,7.59,148,Anti-inflammatory,,,,,,,,
18,Rosal,Nicotine,Ozone,72,4368,72,81,Stimulant,,,,,,,,
3,Sim,Ibuprofen,SF,28,1500,28,28,Anti-inflammatory,,,,,,,,
1,Kim,Cotinine,Membrane Bioreactor,6,1200,1.5,22.5,Opioid,,,,,,,,
30,Hijosa-Valsero,Carboxy-ibuprofen,Constructed Wetland,,7840,,150,Drug Metabolite,,,,,,,,
1,Kim,Cotinine,Membrane Bioreactor,6,1230,1.5,23.6,Opioid,,,,,,,,
38,Knopp,Carbamazepine,Ozone,25,1300,25,25,Anticonvulsant,,,,,,,,
41,Yang,DEET,MF,200,1500,10,29,Insecicide,,,,,,,,
39,Estrada-Arriaga,Estrone,UV,1.06,53.5,1.06,1.06,Hormone,,,,,,,,
38,Knopp,1H-benzotriazole,Biofilter,25,25000,25,500,Corrosion Inhibitor,,,,,,,,
38,Knopp,1H-benzotriazole,"Biofilter, ae",25,25000,25,500,Corrosion Inhibitor,,,,,,,,
37,Matamoros,Hydrocinnamic acid,Constructed Wetland,,21100,,422,Food/Cosmetics,,,,,,,,
37,Matamoros,Oxybenzone,Constructed Wetland,,3350,,67,UV filter/sunscreen,,,,,,,,
39,Estrada-Arriaga,17β-estradiol,ClO2,0.9,44.8,0.9,0.9,Hormone,,,,,,,,
2,Margot,Bisphenol A,"Ozone, Sand Filter",48.9,834,48.9,16.9,Plastic Component,,,,,,,,
38,Knopp,Tolyltriazole,Biofilter,25,4900,25,100,Corrosion Inhibitor,,,,,,,,
38,Knopp,Tolyltriazole,"Biofilter, ae",25,4900,25,100,Corrosion Inhibitor,,,,,,,,
38,Knopp,Tolyltriazole,Ozone,25,4900,25,100,Corrosion Inhibitor,,,,,,,,
21,Le-Minh,N4-Acetyl Sulfamethazine,UV,,390,,8,Drug Metabolite,,,,,,,,
25,Carmona,Ethylparaben,"Filtration, UV",4,72,1.5,1.5,Preservative,,,,,,,,
38,Knopp,1-Hydroxy-benzotriazole,Ozone,25,1200,25,25,Drug Metabolite,,,,,,,,
12,Perez,Naproxen,Reverse Osmosis,,2994,,62.72,Anti-inflammatory,,,,,,,,
1,Kim,Triclosan,Membrane Bioreactor,60,3380,240,70.9,Antifungal,,,,,,,,
24,Li,Diphenhydramine,"Aerated Lanoons (2), Sand Tank",2.9,1800,0.66,38.5,Antihistamine,,,,,,,,
11,Dolar,Metronidazole,MBR,208.9,486,208.9,10.45,Antibiotic,,,,,,,,
22,Li,Ciprofloxacin,Ozone,0.1,82.1,0.1,1.77,Antibiotic,,,,,,,,
8,Rodriguez-Mozaz,Terbutylazine,RO,19.4,213,4.7,4.7,Herbicide,,,,,,,,
22,Li,Norfloxacin,Ozone,0.1,1813,0.1,40.1,Antibiotic,,,,,,,,
38,Knopp,Sulfamethoxazole,Biofilter,25,1100,25,25,Antibiotic,,,,,,,,
38,Knopp,Sulfamethoxazole,"Biofilter, ae",25,1100,25,25,Antibiotic,,,,,,,,
38,Knopp,Sulfamethoxazole,GAC,25,1100,25,25,Antibiotic,,,,,,,,
38,Knopp,Sulfamethoxazole,"GAC, ae",25,1100,25,25,Antibiotic,,,,,,,,
38,Knopp,Tramadol,Ozone,25,1100,25,25,Opioid,,,,,,,,
1,Kim,Enalapril,Membrane Bioreactor,1.2,28.8,0.3,0.659,Antihypertensive,,,,,,,,
8,Rodriguez-Mozaz,Diazinon,RO,1.1,543,0.4,12.5,Insecticide,,,,,,,,
1,Kim,Cotinine,Membrane Bioreactor,6,974,1.5,22.6,Opioid,,,,,,,,
39,Estrada-Arriaga,Enalapril,ClO2,0.99,42.5,0.99,0.99,Antihypertensive,,,,,,,,
24,Li,Naproxen,"Aerated Lanoons (2), Sand Tank",11,38800,2.1,912,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Theophylline,UV - ClO2,93,3900,93,93,Bronchodilator,,,,,,,,
3,Sim,Ibuprofen,SF,28,1170,28,28,Anti-inflammatory,,,,,,,,
9,Sahar,Roxithromycin,RO,25,1030,25,25,Antibiotic,,,,,,,,
9,Sahar,Roxithromycin,RO,25,1030,25,25,Antibiotic,,,,,,,,
